sensor_name,sensor_type,manufacturer,installation_date,status
SENSOR-001,Digital Meter,ABB,2024-02-15,Active
SENSOR-002,IoT Sensor,Schneider,2024-03-15,Active
SENSOR-003,Power Analyzer,Honeywell,2024-04-15,Active
SENSOR-004,Smart Meter,Siemens,2024-05-15,Active
SENSOR-005,Digital Meter,ABB,2024-06-15,Active
SENSOR-006,IoT Sensor,Schneider,2024-07-15,Active
SENSOR-007,Power Analyzer,Honeywell,2024-08-15,Active
SENSOR-008,Smart Meter,Siemens,2024-09-15,Active
SENSOR-009,Digital Meter,ABB,2024-10-15,Active
SENSOR-010,IoT Sensor,Schneider,2024-11-15,Active
SENSOR-011,Power Analyzer,Honeywell,2024-12-15,Active
SENSOR-012,Smart Meter,Siemens,2024-01-15,Active
SENSOR-013,Digital Meter,ABB,2024-02-15,Active
SENSOR-014,IoT Sensor,Schneider,2024-03-15,Active
SENSOR-015,Power Analyzer,Honeywell,2024-04-15,Active
SENSOR-016,Smart Meter,Siemens,2024-05-15,Active
SENSOR-017,Digital Meter,ABB,2024-06-15,Active
SENSOR-018,IoT Sensor,Schneider,2024-07-15,Active
SENSOR-019,Power Analyzer,Honeywell,2024-08-15,Active
SENSOR-020,Smart Meter,Siemens,2024-09-15,Active
SENSOR-021,Digital Meter,ABB,2024-10-15,Active
SENSOR-022,IoT Sensor,Schneider,2024-11-15,Active
SENSOR-023,Power Analyzer,Honeywell,2024-12-15,Active
SENSOR-024,Smart Meter,Siemens,2024-01-15,Active
SENSOR-025,Digital Meter,ABB,2024-02-15,Active
SENSOR-026,IoT Sensor,Schneider,2024-03-15,Active
SENSOR-027,Power Analyzer,Honeywell,2024-04-15,Active
SENSOR-028,Smart Meter,Siemens,2024-05-15,Active
SENSOR-029,Digital Meter,ABB,2024-06-15,Active
SENSOR-030,IoT Sensor,Schneider,2024-07-15,Active
SENSOR-031,Power Analyzer,Honeywell,2024-08-15,Active
SENSOR-032,Smart Meter,Siemens,2024-09-15,Active
SENSOR-033,Digital Meter,ABB,2024-10-15,Active
SENSOR-034,IoT Sensor,Schneider,2024-11-15,Active
SENSOR-035,Power Analyzer,Honeywell,2024-12-15,Active
SENSOR-036,Smart Meter,Siemens,2024-01-15,Active
SENSOR-037,Digital Meter,ABB,2024-02-15,Active
SENSOR-038,IoT Sensor,Schneider,2024-03-15,Active
SENSOR-039,Power Analyzer,Honeywell,2024-04-15,Active
SENSOR-040,Smart Meter,Siemens,2024-05-15,Active
SENSOR-041,Digital Meter,ABB,2024-06-15,Active
SENSOR-042,IoT Sensor,Schneider,2024-07-15,Active
SENSOR-043,Power Analyzer,Honeywell,2024-08-15,Active
SENSOR-044,Smart Meter,Siemens,2024-09-15,Active
SENSOR-045,Digital Meter,ABB,2024-10-15,Active
SENSOR-046,IoT Sensor,Schneider,2024-11-15,Active
SENSOR-047,Power Analyzer,Honeywell,2024-12-15,Active
SENSOR-048,Smart Meter,Siemens,2024-01-15,Active
SENSOR-049,Digital Meter,ABB,2024-02-15,Active
SENSOR-050,IoT Sensor,Schneider,2024-03-15,Active
